"FID" "Cancer_1996" "CVD_1996" "External_1996" "LungC_1996" "Rest_1996" "Cancer_2017" "CVD_2017" "External_2017" "LungC_2017" "Rest_2017" "AllCn96" "AllCn17"
"1" "AT11" 131.975985333932 280.932258823978 55.7506004321617 89.5592697407829 127.384269139 91.987962755858 126.709303472385 45.3736357522977 46.7281334604428 75.555210218913 221.535255074715 138.716096216301
"2" "AT12" 110.582874931973 281.045349057208 71.1185323879892 66.8357168652806 98.937592118084 78.093763049991 110.337541959931 50.1442065897287 33.2296301370368 64.719046276682 177.418591797254 111.323393187028
"3" "AT13" 87.803311265777 295.954360885998 57.2128729651877 71.3881488599306 105.612024572002 75.097005380473 117.503957949121 42.5257015733399 35.462423935522 80.783990102012 159.191460125708 110.559429315995
"4" "AT21" 93.710749139292 230.705389911281 75.5697076012699 84.3873535789754 98.839925251677 77.204362342337 105.755682660628 64.592559278262 39.1223543138402 85.194555250667 178.098102718267 116.326716656177
"5" "AT22" 96.385699593176 262.156580599723 75.1572942010286 80.0593810811649 97.241621926395 81.564331116645 106.919844111266 62.8929796412336 33.5544448966801 79.404832939072 176.445080674341 115.118776013325
"6" "AT31" 105.602490318099 268.356684312471 65.8108367812553 73.5175936143911 112.436865968473 75.018159429673 107.400282971311 51.3355207942216 29.5341819966429 80.428397856911 179.12008393249 104.552341426316
"7" "AT32" 70.563698887588 219.623025223473 73.404989159754 70.2987738535552 84.980092505097 65.630565920061 108.161176922711 52.0294771062185 26.2155876475177 60.225684345813 140.862472741143 91.8461535675787
"8" "AT33" 71.274943206093 224.028999098792 61.3029141483011 82.6057538898279 81.1190810075 65.649842872691 86.503831397079 48.5901622034668 32.7655744017215 68.575085234187 153.880697095921 98.4154172744125
"9" "AT34" 77.559019608243 266.935024237059 46.3076126625228 103.96187397538 69.259134434302 69.189365118356 106.442733218917 45.122554395251 27.2412358406309 48.923948286516 181.520893583622 96.4306009589869
"10" "CH01" 134.648843320593 189.107504247587 65.3757575346332 78.5926851566883 122.422039049431 91.739147561297 88.408798526402 44.4702377549926 27.1296941232122 63.521131430983 213.241528477281 118.868841684509
"11" "CH02" 85.496642389514 182.757294892134 51.7159078497088 63.9791964753714 93.5141695679 63.997410776013 66.394233981546 29.1540491091147 25.3188211121183 39.756604359656 149.475838864885 89.3162318881313
"12" "CH03" 93.367468251806 197.012484958115 48.0361994613467 65.0037987416447 86.709766177914 55.15990820176 66.025443406345 30.194414758066 20.3728424660075 42.575563263374 158.371266993451 75.5327506677675
"13" "CH04" 91.949878064142 183.550051219244 58.1136862230109 67.0407593739152 81.871784111652 56.970292558651 75.579996876171 29.835412856552 21.1703038337112 37.195501302321 158.990637438057 78.1405963923622
"14" "CH05" 98.476496987747 205.218444654509 61.5153230559235 62.2776663712842 102.114925072445 71.886053185081 89.464978763745 31.2520222041899 25.2527458981189 42.270258691513 160.754163359031 97.1387990831999
"15" "CH06" 91.839792529101 210.88832270851 45.6551785865986 69.4864407744294 81.619752021872 71.569650968339 70.293606024418 28.509239091323 22.2660759692462 35.535790385458 161.32623330353 93.8357269375852
"16" "CH07" 110.258678351936 186.032164211283 49.7110746032855 83.7485186790164 98.880029570175 78.933912883933 68.260119123424 22.5906987982802 31.0510728702796 49.560479932772 194.007197030952 109.984985754213
"17" "CZ01" 92.143723046668 288.92775606854 55.4366562398503 90.1360169913181 69.734928226438 73.037217321899 139.743662927411 40.3363245661371 33.4869562921159 85.12925050886 182.279740037986 106.524173614015
"18" "CZ02" 123.789565675864 368.365696175405 60.9422831726169 132.207199326217 73.53343102401 97.265143691227 188.815043055905 48.7629450465848 56.4528035398374 101.870963638334 255.996765002081 153.717947231064
"19" "CZ03" 130.765273738272 311.161503662093 59.3921101218411 132.419104429138 82.920056207847 94.905440962157 170.147972123494 53.0312263892008 53.432826467316 99.158798927663 263.18437816741 148.338267429473
"20" "CZ04" 132.233413933576 352.881117078602 79.2121744414235 153.464117316811 103.057108475161 91.449887866144 203.939616870162 53.5729334650185 59.8435205899685 103.210037607322 285.697531250387 151.293408456112
"21" "CZ05" 116.015688849206 316.764071221801 59.8333741966344 107.841044762512 89.64759853303 92.279120845977 176.556698854548 49.9382858986263 48.8928637104718 95.052159957946 223.856733611718 141.171984556449
"22" "CZ06" 115.395627514742 334.843116470867 60.1749421286921 104.95512166344 87.995291396937 95.668592252365 176.886255115809 54.9857975432058 52.3270836296435 130.328355850969 220.350749178182 147.995675882008
"23" "CZ07" 112.481097023801 369.237876811406 77.3762331666768 112.095084984044 86.009490985357 101.301589411157 205.43518798629 67.468324701097 41.9188061942255 130.184496294933 224.576182007845 143.220395605382
"24" "CZ08" 130.905852752093 383.90054842583 77.8717700121763 132.718889186878 126.364678751137 111.88352218159 210.908932921409 61.4573839134884 53.6270114552583 142.973770102847 263.624741938971 165.510533636848
"25" "DE1001" 87.299020216288 276.269049586952 36.3524695399864 115.420299344026 129.204612929268 66.950559689509 117.693060493047 39.8783658777365 42.0240902444943 88.773082094448 202.719319560314 108.974649934003
"26" "DE101" 65.61277777377 262.777006405493 41.7776979611341 72.6209280123602 102.743289183833 57.812252369591 96.054935466813 48.0886656953278 33.6271969656523 82.811359751852 138.23370578613 91.4394493352433
"27" "DE102" 84.07094763823 261.322595035101 58.7556381171452 75.619931616199 123.862864941511 63.396261947145 103.443713301161 53.4786273754529 32.7828660578407 77.919677218287 159.690879254429 96.1791280049857
"28" "DE103" 92.446021901053 259.572090473922 62.4700077881027 81.9371410530724 129.524346571743 70.824880159411 112.226547134315 46.7355380027487 39.4358478990778 106.776321823688 174.383162954125 110.260728058489
"29" "DE104" 74.11765146419 244.010875029099 46.1753039196159 69.6136265653771 97.040045534199 58.346455319458 88.916886415736 39.4908605262291 32.3701733268351 76.139732814431 143.731278029567 90.7166286462931
"30" "DE105" 62.835135969097 250.259704110024 60.990028787013 76.7900813581248 104.324215576659 37.921080518031 133.397617970594 43.2934307881798 32.9118647019428 95.259895266186 139.625217327222 70.8329452199738
"31" "DE1101" 77.481201997783 266.361087110917 52.0230535998175 84.1328909402728 119.086966656354 65.126646992437 100.93381599795 33.3049465775636 36.9693847714929 89.242466167493 161.614092938056 102.09603176393
"32" "DE1201" 99.04317945309 274.102057687077 64.814654162189 99.6877933033515 113.999953639143 80.215394753646 96.674111625914 45.3439264304586 46.4491457218172 89.485121324564 198.730972756441 126.664540475463
"33" "DE1202" 98.239753702418 289.421974578971 77.9879567804462 94.7519342760367 137.441873929204 82.871910670737 154.222916114995 53.3968966877371 47.8369589700892 101.205570150832 192.991687978455 130.708869640826
"34" "DE1203" 100.280659383293 260.974740644425 69.8832723302195 99.8109668824229 110.048269307581 68.147210278302 120.475683856605 43.6735651960836 47.5631856692466 85.356548647543 200.091626265716 115.710395947549
"35" "DE1204" 84.957733292545 265.625313993376 83.4690704352671 96.8921057477349 139.433024408035 79.731976864605 103.898749886319 45.8238620239072 49.8945276104389 105.793459734841 181.84983904028 129.626504475044
"36" "DE1205" 89.765356490776 287.807916276966 94.9083550830804 123.889222345869 120.540423113165 86.113184601779 108.386808578988 42.3824904512937 56.9639296078332 103.612479781179 213.654578836645 143.077114209612
"37" "DE1301" 85.565476858389 278.748651759104 96.7386599466557 108.093730398206 174.751440893213 101.993449392659 155.041895313389 61.266628985422 53.7624050219781 119.114429509494 193.659207256595 155.755854414637
"38" "DE1302" 93.474707910283 291.924484064264 85.9336018091262 100.432140754241 132.913704723611 87.217915479626 119.10637472472 43.380969270042 51.2102123973782 107.749853597269 193.906848664524 138.428127877004
"39" "DE1303" 102.534265017619 307.818728071236 97.8547562202475 120.336631722807 158.209704321738 93.481990212311 159.333287624771 59.2199434319254 63.134143335598 126.560082038297 222.870896740426 156.616133547909
"40" "DE1304" 95.871226484645 267.929897310261 98.108859599051 109.68312045084 154.48511174195 84.029817361796 130.182143091495 58.0838681163195 51.272945824348 117.627504324766 205.554346935485 135.302763186144
"41" "DE1401" 67.885359110583 277.123839494341 50.5419546406417 80.805295357488 118.368367907911 86.324213298935 113.123493993428 45.8460959627492 38.7203166315683 93.41727088422 148.690654468071 125.044529930503
"42" "DE1402" 72.598613804973 290.507891140126 72.0166715974728 79.9842820110635 145.170137473554 89.553564056318 126.683397181721 56.8057115325746 46.4037004742951 97.354507791944 152.582895816036 135.957264530613
"43" "DE1403" 83.155439311573 309.577245448614 62.4243671875641 94.1786579314555 138.311360251816 89.282307432521 140.480705514226 49.5597469639799 44.5868962144859 114.513182452549 177.334097243029 133.869203647007
"44" "DE1404" 73.95603910941 288.198428184517 60.0681227893806 85.6794056851329 136.623923997246 84.172520714531 120.214682160721 51.7736380870159 44.9661207461803 105.011706494302 159.635444794543 129.138641460711
"45" "DE1501" 95.436195098621 299.884632968311 94.45813452113 106.584400206249 141.213721945129 97.253789646887 152.560644206581 48.5683978670123 64.1874626183499 125.145703804466 202.02059530487 161.441252265237
"46" "DE1502" 104.104953715805 299.694227491233 84.2323326488724 116.248119231035 142.377096603449 101.908885925661 139.800339540093 61.1361430500796 49.55388341213 116.732122884939 220.35307294684 151.462769337791
"47" "DE1503" 90.186923928882 304.149329786185 73.307029038673 108.645133184814 123.346662191156 95.601446288943 149.050547108717 53.3775679743305 57.1244723484044 105.119556784563 198.832057113696 152.725918637347
"48" "DE1504" 86.485775585258 297.863727275499 63.7958695603546 108.488654212703 121.775568124075 95.400647256546 160.045138335434 54.6825487727378 57.4949216266786 112.293855094513 194.974429797961 152.895568883225
"49" "DE1601" 74.67863092764 301.293535784442 66.6205300662383 97.238078450009 154.260734993469 75.794251861169 112.531014407257 43.772777088257 45.3243319441489 92.941210686256 171.916709377649 121.118583805318
"50" "DE1602" 59.687541492947 269.929265208948 67.9917036710574 96.0397925091015 126.505344779458 69.520125881004 141.901463041666 46.7681493340717 49.2411264499157 104.343492535163 155.727334002049 118.76125233092
"51" "DE1603" 92.981345418417 299.095121719572 68.1242409626224 93.6965510964473 138.808051060215 84.79159706568 120.275729842645 47.6187722307644 43.7363636610682 106.085565498874 186.677896514864 128.527960726748
"52" "DE1604" 83.596940039431 296.226179953647 67.7677798163304 82.110022768064 129.12255396931 80.707312055612 126.756364514686 48.062281961773 37.6886333248102 122.165999371102 165.706962807495 118.395945380422
"53" "DE201" 80.701572935198 206.826499068076 63.6837251178617 89.3636043554695 129.803659369833 76.977476984533 98.99038087249 44.8570012251242 39.9389753000281 78.753880450097 170.065177290668 116.916452284561
"54" "DE301" 84.868343965818 266.563282775988 55.7784898313231 79.842972993696 139.54670354853 69.586182358367 119.967767328187 40.0685934780519 39.7381273889064 76.865349614306 164.711316959514 109.324309747273
