"Year" "FID" "SDR_f" "SDR_m" "Gap"
"1" 1996 "AT11" 959.498006897152 1645.10039036701 685.602383469855
"2" 1996 "AT12" 956.118478375424 1584.63854373596 628.520065360535
"3" 1996 "AT13" 941.129057237678 1559.09977578657 617.970718548895
"4" 1996 "AT21" 836.895240011157 1420.10836549365 583.213125482495
"5" 1996 "AT22" 902.794742382927 1513.79531978441 611.000577401487
"6" 1996 "AT31" 902.696507249903 1528.42097824459 625.724470994689
"7" 1996 "AT32" 858.691804996334 1377.5623846258 518.870579629467
"8" 1996 "AT33" 834.579909691962 1354.91160104248 520.331691350514
"9" 1996 "AT34" 812.278001434569 1376.30066635208 564.022664917506
"10" 1996 "CH01" 868.434893959984 1458.58172326892 590.146829308933
"11" 1996 "CH02" 679.849586192686 1157.31279736731 477.463211174628
"12" 1996 "CH03" 757.889983787348 1248.01970137817 490.129717590826
"13" 1996 "CH04" 773.571716336897 1256.09787532886 482.526158991964
"14" 1996 "CH05" 760.723416664879 1290.32627280679 529.602856141909
"15" 1996 "CH06" 753.735227807902 1253.22471442841 499.489486620511
"16" 1996 "CH07" 665.698957307082 1194.32942272278 528.630465415696
"17" 1996 "CZ01" 1116.04664916974 1712.42572974255 596.379080572814
"18" 1996 "CZ02" 1250.88800537808 2009.7261807522 758.838175374113
"19" 1996 "CZ03" 1225.26471603699 1941.92276419618 716.658048159191
"20" 1996 "CZ04" 1344.57319313724 2165.42112438281 820.847931245573
"21" 1996 "CZ05" 1171.79489309163 1861.89667065481 690.101777563183
"22" 1996 "CZ06" 1124.99508149681 1828.35918067149 703.364099174678
"23" 1996 "CZ07" 1173.56443646761 1930.7642194389 757.199782971284
"24" 1996 "CZ08" 1226.15334885306 2077.91508798118 851.761739128115
"25" 1996 "DE1001" 969.032449973123 1613.57790158964 644.545451616521
"26" 1996 "DE101" 924.537590764284 1470.06929010087 545.53169933659
"27" 1996 "DE102" 900.012172063717 1503.6441494119 603.631977348186
"28" 1996 "DE103" 891.093184386986 1517.04279217488 625.949607787893
"29" 1996 "DE104" 922.777446747286 1453.73494925977 530.957502512481
"30" 1996 "DE105" 948.557009032149 1503.75617483307 555.199165800918
"31" 1996 "DE1101" 983.284152705687 1582.36935301083 599.085200305144
"32" 1996 "DE1201" 972.81715227289 1624.46479051774 651.647638244851
"33" 1996 "DE1202" 1011.45363615503 1709.29712942211 697.843493267076
"34" 1996 "DE1203" 994.962126455507 1635.96003500345 640.997908547941
"35" 1996 "DE1204" 1030.314282828 1700.69153070496 670.377247876958
"36" 1996 "DE1205" 1044.87527519473 1761.78654850458 716.911273309856
"37" 1996 "DE1301" 1043.64192658418 1787.53988643975 743.897959855568
"38" 1996 "DE1302" 1011.76138488485 1716.44002414638 704.678639261525
"39" 1996 "DE1303" 1013.64426139806 1800.39834675171 786.754085353648
"40" 1996 "DE1304" 1011.40542003541 1737.48363562215 726.078215586747
"41" 1996 "DE1401" 877.190260394589 1471.91507690555 594.724816510965
"42" 1996 "DE1402" 957.549228930055 1617.82682495724 660.277596027189
"43" 1996 "DE1403" 974.023344437739 1661.67041456876 687.647070131023
"44" 1996 "DE1404" 976.327799672969 1620.85371943866 644.525919765686
"45" 1996 "DE1501" 1028.56196198479 1766.13904672423 737.57708473944
"46" 1996 "DE1502" 1016.92017943298 1763.57690912338 746.656729690394
"47" 1996 "DE1503" 1034.26998539219 1733.9050635219 699.63507812971
"48" 1996 "DE1504" 1028.16607500279 1706.57566976068 678.40959475789
"49" 1996 "DE1601" 1012.29048427242 1706.38199449422 694.091510221798
