"Cause" "Contr" "FID" "Country"
"122" "LungC" 26.6430562532711 "CZ05" "CZ"
"123" "Cancer" 10.9744983129652 "CZ05" "CZ"
"124" "CVD" 61.3418875483533 "CZ05" "CZ"
"125" "External" 5.16744097087234 "CZ05" "CZ"
"126" "Rest" -4.12688308546188 "CZ05" "CZ"
"127" "Sum" 100 "CZ05" "CZ"
"128" "LungC" 26.1814763064154 "CZ06" "CZ"
"129" "Cancer" 11.279430301773 "CZ06" "CZ"
"130" "CVD" 78.9343591764401 "CZ06" "CZ"
"131" "External" 4.27956448771058 "CZ06" "CZ"
"132" "Rest" -20.6748302723391 "CZ06" "CZ"
"133" "Sum" 99.9999999999999 "CZ06" "CZ"
"134" "LungC" 31.9178622969939 "CZ07" "CZ"
"135" "Cancer" 8.05164153913226 "CZ07" "CZ"
"136" "CVD" 73.8566086389789 "CZ07" "CZ"
"137" "External" 5.45311716242854 "CZ07" "CZ"
"138" "Rest" -19.2792296375335 "CZ07" "CZ"
"139" "Sum" 100 "CZ07" "CZ"
"140" "LungC" 28.4702978804296 "CZ08" "CZ"
"141" "Cancer" 12.3116643840033 "CZ08" "CZ"
"142" "CVD" 59.2297820312466 "CZ08" "CZ"
"143" "External" 7.0121160973879 "CZ08" "CZ"
"144" "Rest" -7.02386039306735 "CZ08" "CZ"
"145" "Sum" 100 "CZ08" "CZ"
"146" "LungC" 23.1499871384803 "DE1001" "DE"
"147" "Cancer" 5.96934523803934 "DE1001" "DE"
"148" "CVD" 54.9684648369292 "DE1001" "DE"
"149" "External" -0.235337304721188 "DE1001" "DE"
"150" "Rest" 16.1475400912722 "DE1001" "DE"
"151" "Sum" 99.9999999999999 "DE1001" "DE"
"152" "LungC" 17.4113398506711 "DE101" "DE"
"153" "Cancer" 3.57086507691296 "DE101" "DE"
"154" "CVD" 71.5930889137005 "DE101" "DE"
"155" "External" 0.977053048936301 "DE101" "DE"
"156" "Rest" 6.4476531097792 "DE101" "DE"
"157" "Sum" 100 "DE101" "DE"
"158" "LungC" 15.8757315856961 "DE102" "DE"
"159" "Cancer" 8.16183770759239 "DE102" "DE"
"160" "CVD" 57.4802607782335 "DE102" "DE"
"161" "External" 5.3043444909732 "DE102" "DE"
"162" "Rest" 13.1778254375048 "DE102" "DE"
"163" "Sum" 100 "DE102" "DE"
"164" "LungC" 16.8021160546535 "DE103" "DE"
"165" "Cancer" 7.75295200487873 "DE103" "DE"
"166" "CVD" 58.3249174953959 "DE103" "DE"
"167" "External" 6.40600928809205 "DE103" "DE"
"168" "Rest" 10.7140051569798 "DE103" "DE"
"169" "Sum" 100 "DE103" "DE"
"170" "LungC" 15.1595538042636 "DE104" "DE"
"171" "Cancer" 9.22529915412356 "DE104" "DE"
"172" "CVD" 64.1032285642317 "DE104" "DE"
"173" "External" 1.83516775902939 "DE104" "DE"
"174" "Rest" 9.67675071835171 "DE104" "DE"
"175" "Sum" 100 "DE104" "DE"
"176" "LungC" 10.3747401556035 "DE105" "DE"
"177" "Cancer" 15.6253654027535 "DE105" "DE"
"178" "CVD" 59.8498013851387 "DE105" "DE"
"179" "External" 5.00511074518801 "DE105" "DE"
"180" "Rest" 9.14498231131633 "DE105" "DE"
"181" "Sum" 100 "DE105" "DE"
"182" "LungC" 13.2828871951648 "DE1101" "DE"
"183" "Cancer" 4.74444985952439 "DE1101" "DE"
"184" "CVD" 61.6817840529753 "DE1101" "DE"
"185" "External" 7.53839893646852 "DE1101" "DE"
"186" "Rest" 12.7524799558671 "DE1101" "DE"
"187" "Sum" 100 "DE1101" "DE"
"188" "LungC" 16.5631926286534 "DE1201" "DE"
"189" "Cancer" 9.13246504473294 "DE1201" "DE"
"190" "CVD" 56.9723928345071 "DE1201" "DE"
"191" "External" 8.77812186629272 "DE1201" "DE"
"192" "Rest" 8.55382762581373 "DE1201" "DE"
"193" "Sum" 100 "DE1201" "DE"
"194" "LungC" 19.0859997008508 "DE1202" "DE"
"195" "Cancer" 10.482257691581 "DE1202" "DE"
"196" "CVD" 48.0102021837825 "DE1202" "DE"
"197" "External" 9.42648691052944 "DE1202" "DE"
"198" "Rest" 12.9950535132563 "DE1202" "DE"
"199" "Sum" 100 "DE1202" "DE"
"200" "LungC" 17.6722728377079 "DE1203" "DE"
"201" "Cancer" 9.81211442474581 "DE1203" "DE"
"202" "CVD" 57.1589259294552 "DE1203" "DE"
"203" "External" 9.07922730406585 "DE1203" "DE"
"204" "Rest" 6.27745950402533 "DE1203" "DE"
